Sku,,Description,Image,Category,Brand,Price,Stock
K3PD20,Dorman Smith K Series 10kA 3-pole 20A D type MCB K3PD20,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 54mm",https://storage.electrika.com/manu/man-0160/picsprodmedium/3pole_1_0ga34y.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,33.60,123
K3PD25,Dorman Smith K Series 10kA 3-pole 25A D type MCB K3PD25,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 54mm",https://storage.electrika.com/manu/man-0160/picsprodmedium/3pole_1_0ga34y.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,70.41,123
K3PD32,Dorman Smith K Series 10kA 3-pole 32A D type MCB K3PD32,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 54mm",https://storage.electrika.com/manu/man-0160/picsprodmedium/3pole_1_0ga34y.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,220.60,123
T3PD40,Dorman Smith T Series 6/10kA 3-pole 40A D type MCB T3PD40,"6kA rated to the requirements of EN 60898
10kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 54mm
* Please be advised that the ""T"" series MCBs look physically different to the K series.",https://storage.electrika.com/manu/man-0160/picsprod/3pole_1_0ga34y.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,32.30,123
T3PD50,Dorman Smith T Series 6/10kA 3-pole 50A D type MCB T3PD50,"6kA rated to the requirements of EN 60898
10kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 54mm
* Please be advised that the ""T"" series MCBs look physically different to the K series.",https://storage.electrika.com/manu/man-0160/picsprod/3pole_1_0ga34y.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,33.47,123
T3PD63,Dorman Smith T Series 6/10kA 3-pole 63A D type MCB T3PD63,"6kA rated to the requirements of EN 60898
10kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 54mm
* Please be advised that the ""T"" series MCBs look physically different to the K series.",https://storage.electrika.com/manu/man-0160/picsprod/3pole_1_0ga34y.jpg;https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,37.19,123
KR1PC0630A,"Dorman Smith Single module 6A 30mA Type A RCBO, C curve KR1PC0630A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 6A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975348/FULL,RCBOs,Dorman Smith,32.38,123
KR1PC1030A,"Dorman Smith Single module 10A 30mA Type A RCBO, C curve KR1PC1030A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 10A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975349/FULL,RCBOs,Dorman Smith,91.33,123
KR1PC1630A,"Dorman Smith Single module 16A 30mA Type A RCBO, C curve KR1PC1630A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 16A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975350/FULL,RCBOs,Dorman Smith,91.33,123
KR1PC2030A,"Dorman Smith Single module 20A 30mA Type A RCBO, C curve KR1PC2030A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 20A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975351/FULL,RCBOs,Dorman Smith,91.33,123
KR1PC3230A,"Dorman Smith Single module 32A 30mA Type A RCBO, C curve KR1PC3230A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 32A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975352/FULL,RCBOs,Dorman Smith,91.33,123
KR1PC4030A,"Dorman Smith Single module 40A 30mA Type A RCBO, C curve KR1PC4030A","Dorman Smith Switchgear KR1PC4030A Loadlimiter 63 RCBO Type A KR Series SP Type C 40A 30mA 10kA

· Exceeds the requirements of EN 61009
· 10kA rated breaking capacity
· Type A and Type AC RCBOs available
· Single module width = 17.5mm
· Outgoing terminal capacity is 10mm²
· Busbar side terminal capacity is 35mm²",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2501248832/ZOOM,RCBOs,Dorman Smith,91.33,123
KR1PC4530A,"Dorman Smith Single module 45A 30mA Type A RCBO, C curve KR1PC4530A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 32A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975352/FULL,RCBOs,Dorman Smith,91.33,123
KR1PB0630A,"Dorman Smith Single module 6A 30mA Type A RCBO, B curve KR1PB0630A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 6A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975343/FULL,RCBOs,Dorman Smith,32.38,123
KR1PB1030A,"Dorman Smith Single module 10A 30mA Type A RCBO, B curve KR1PB1030A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 10A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975344/FULL,RCBOs,Dorman Smith,30.22,123
KR1PB1630A,"Dorman Smith Single module 16A 30mA Type A RCBO, B curve KR1PB1630A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 16A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975345/FULL,RCBOs,Dorman Smith,30.22,123
KR1PB2030A,"Dorman Smith Single module 20A 30mA Type A RCBO, B curve KR1PB2030A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 20A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975346/FULL,RCBOs,Dorman Smith,30.22,123
KR1PB3230A,"Dorman Smith Single module 32A 30mA Type A RCBO, B curve KR1PB3230A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 32A
Sensitivity: 30mA",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500975347/FULL,RCBOs,Dorman Smith,30.22,123
KR1PB4030A,"Dorman Smith Single module 40A 30mA Type A RCBO, B curve KR1PB4030A","Dorman Smith Switchgear KR1PB4030A Loadlimiter 63 RCBO Type A KR Series SP Type B 40A 30mA 10kA

· Exceeds the requirements of EN 61009
· 10kA rated breaking capacity
· Type A and Type AC RCBOs available
· Single module width = 17.5mm
· Outgoing terminal capacity is 10mm²
· Busbar side terminal capacity is 35mm²",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2501248829/FULL,RCBOs,Dorman Smith,32.38,123
KR1PB4530A,"Dorman Smith Single module 45A 30mA Type A RCBO, B curve KR1PB4530A","Exceeds the requirements of EN 61009
Rated breaking capacity: 10kA
Type: A
Single module width: 17.5mm
Outgoing terminal capacity: 10mm²
Busbar side terminal capacity: 35mm²
Current rating: 45A
Sensitivity: 30mA",,RCBOs,Dorman Smith,38.85,123
AV2100,Dorman Smith Switch Disconnector DP For Av Series 100A AV2100,"Dorman Loadlimiter 63 Switch Disconnector is an incoming device suitable for A-type distribution boards. It meets the requirements of EN 60947-3 standards and utilization category of AC22. It is used for installation of a 4-pole device as an incoming device for a Loadlimiter 63 TP&N distribution board then an additional connection kit is required with product code DBXCKR.

· Meets the requirements of EN 60947-3 standards
· Maximum cable termination capacity is 50mm²
· Utilization category of AC22",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500006701/FULL,Switchgear & Distribution,Dorman Smith,12.96,123
AV3125,Dorman Smith Switch Disconnector Triple Pole For Av Series 125A AV3125,"A Switch Disconnector meets the requirements of EN 60947-3 standards.

· Accepts incoming cables up to 70mm² by using the DBXD1 direct connection kit
· Suitable for use with the B-type TP and D distribution boards, incoming devices
· Maximum cable termination is 50mm²",https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500042929/FULL,Switchgear & Distribution,Dorman Smith,21.48,123
AV2125,Dorman Smith Switch Disconnector DP For Av Series 125A AV2125,Switch Disconnector DP For Av Series 125A,https://storage.electrika.com/manu/man-0160/picsprod/av2100_jb5emy.jpg,Switchgear & Distribution,Dorman Smith,24.41,123
AV4125,Dorman Smith Switch Disconnector 4P For Av Series 125A AV4125,Switch Disconnector 4P For Av Series 125A,https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500042930/FULL,Switchgear & Distribution,Dorman Smith,37.78,123
PBCSB,Dorman Smith Loadbank YB1 Cable Spreader Box PBCSB,Loadbank YB1 Cable Spreader Box,https://rexelws.proplanet.nl/mediaservice.svc/getmedia/2500584362/FULL,Accessories,Dorman Smith,109.06,123
PBSC32,Dorman Smith Loadbank YB1 32 Way Service Centre PBSC32,Loadbank YB1 32 Way Service Centre,,Accessories,Dorman Smith,337.06,123
YB1N1P16TC,Dorman Smith YB1 25kA 1-pole 16A MCCB YB1N1P16TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 16A",https://storage.electrika.com/manu/man-0160/picsprod/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,83.01,123
YB1N1P20TC,Dorman Smith YB1 25kA 1-pole 20A MCCB YB1N1P20TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 20A",https://storage.electrika.com/manu/man-0160/picsprod/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,79.24,123
YB1N1P32TC,Dorman Smith YB1 25kA 1-pole 32A MCCB YB1N1P32TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 32A
Min current rating: 20A",https://storage.electrika.com/manu/man-0160/picsprod/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,79.24,123
YB1N1P40TC,Dorman Smith YB1 25kA 1-pole 40A MCCB YB1N1P40TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 40A
Min current rating: 25A
",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,79.24,123
YB1N1P50TC,Dorman Smith YB1 25kA 1-pole 50A MCCB YB1N1P50TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 50A
Min current rating: 32A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,79.24,123
YB1N1P63TC,Dorman Smith YB1 25kA 1-pole 63A MCCB YB1N1P63TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 63A
Min current rating: 40A
",https://storage.electrika.com/manu/man-0160/picsprod/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,79.24,123
YB1N1P80TC,Dorman Smith YB1 25kA 1-pole 80A MCCB YB1N1P80TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 80A
Min current rating: 50A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,79.24,123
YB1N1P100TC,Dorman Smith YB1 25kA 1-pole 100A MCCB YB1N1P100TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 100A
Min current rating: 63A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,209.48,123
YB1N1P125TC,Dorman Smith YB1 25kA 1-pole 125A MCCB YB1N1P125TC,"Exceeds the requirements of EN 60947-2
Single-pole MCCBs have fixed thermal and magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 125A
Min current rating: 80A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb11p_1_pmkivi.jpg,MCCBs,Dorman Smith,209.48,123
YB1TC3P,Dorman Smith YB1 3P Terminal Cover for Cable Clamps YB1TC3P,YB1 3P Terminal Cover for Cable Clamps,,Accessories,Dorman Smith,15.95,123
YB1N3P25TC,Dorman Smith YB1 25kA 3-pole 25A MCCB YB1N3P25TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 25A
Min current rating: 16A",https://storage.electrika.com/manu/man-0160/picsprod/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,18.01,123
YB1N3P32TC,Dorman Smith YB1 25kA 3-pole 32A MCCB YB1N3P32TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 32A
Min current rating: 20A",https://storage.electrika.com/manu/man-0160/picsprod/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,124.44,123
YB1N3P40TC,Dorman Smith YB1 25kA 3-pole 40A MCCB YB1N3P40TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 40A
Min current rating: 25A",https://storage.electrika.com/manu/man-0160/picsprod/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,124.44,123
YB1N3P63TC,Dorman Smith YB1 25kA 3-pole 63A MCCB YB1N3P63TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 63A
Min current rating: 40A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,146.05,123
YB1N3P80TC,Dorman Smith YB1 25kA 3-pole 80A MCCB YB1N3P80TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 80A
Min current rating: 50A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,146.05,123
YB1N3P100TC,Dorman Smith YB1 25kA 3-pole 100A MCCB YB1N3P100TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 100A
Min current rating: 63A
",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,79.24,123
YB1N3P125TC,Dorman Smith YB1 25kA 3-pole 125A MCCB YB1N3P125TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 125A
Min current rating: 80A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,79.24,123
YB1N3P160TC,Dorman Smith YB1 25kA 3-pole 160A MCCB YB1N3P160TC,"Exceeds the requirements of EN 60947-2
Three-pole MCCBs have adjustable thermal and fixed magnetic overloads
Thermal overload adjusts to 1 x In, 0.8 x In and 0.63 x In
Ultimate breaking capacity: 25kA at 415V AC
Cable connection: Via cable clamps and maximum cable termination is 70mm²
Rated insulation voltage: 690V AC (Ui)
Max current rating: 160A
Min current rating: 100A",https://storage.electrika.com/manu/man-0160/picsprodmedium/yb13p_1_pml2bw.jpg,MCCBs,Dorman Smith,146.05,123
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
